client_id,cluster_id,dE_local,dC_local,dN_local,dE_global,dC_global,dN_global,dD,norm,dE,dC,dN,lambda_dE_local,raw_lambda_dE_local,tau_dE_local,z_dE_local,flag_dE_local,threshold_scope_dE_local,lambda_dN_local,raw_lambda_dN_local,tau_dN_local,z_dN_local,flag_dN_local,threshold_scope_dN_local,lambda_dE_global,raw_lambda_dE_global,tau_dE_global,z_dE_global,flag_dE_global,threshold_scope_dE_global,lambda_dN_global,raw_lambda_dN_global,tau_dN_global,z_dN_global,flag_dN_global,threshold_scope_dN_global,lambda_dC_local,raw_lambda_dC_local,tau_dC_local,z_dC_local,flag_dC_local,threshold_scope_dC_local,lambda_dC_global,raw_lambda_dC_global,tau_dC_global,z_dC_global,flag_dC_global,threshold_scope_dC_global,lambda_dD,raw_lambda_dD,tau_dD,z_dD,flag_dD,threshold_scope_dD,local_votes,global_votes,magnitude_votes,direction_votes,suspicious_votes,suspicious_score,cluster_forced_poisoned,client_poisoned_by_score,is_poisoned,round
1,1,1.4128190279006958,0.0019698143005371094,0.07706002938494652,4.123625755310059,0.12162172794342041,0.17122535907750253,0.071647047996521,8.140256881713867,1.4128190279006958,0.0019698143005371094,0.07706002938494652,2.354544257594766,2.354544257594766,1.0778932421928118,0.2541154222646517,0,global_population_threshold,0.26882725174431354,0.26882725174431354,1.0778932421928118,-0.22264958566712065,0,global_population_threshold,5.220368145077171,5.220368145077171,1.0778932421928118,0.2430858184302568,0,global_population_threshold,0.47773666387679203,0.47773666387679203,1.0778932421928118,-0.35300622578895957,0,global_population_threshold,0.016141935186954497,0.016141935186954497,1.0778932421928118,-0.6424205590040756,0,global_population_threshold,0.20416856815638035,0.20416856815638035,1.0778932421928118,-0.08886543465736037,0,global_population_threshold,0.24447306179344205,0.24447306179344205,1.4723665527410148,-0.045317930209597575,0,global_population_threshold,0,0,0,0,0,0.49720124069490856,0,0,0,4
2,167,1.4431108236312866,0.009878158569335938,0.07442968607929593,4.0937676429748535,0.029004991054534912,0.32247394510518557,0.40728896856307983,9.46944522857666,1.4431108236312866,0.009878158569335938,0.07442968607929593,2.354544257594766,2.354544257594766,1.0778932421928118,0.2806132887991749,0,global_population_threshold,0.26882725174431354,0.26882725174431354,1.0778932421928118,-0.2404882657025618,0,global_population_threshold,5.220368145077171,5.220368145077171,1.0778932421928118,0.2203587185483658,0,global_population_threshold,0.47773666387679203,0.47773666387679203,1.0778932421928118,0.35307383680763355,0,global_population_threshold,0.016141935186954497,0.016141935186954497,1.0778932421928118,0.31755105697579555,0,global_population_threshold,0.20416856815638035,0.20416856815638035,1.0778932421928118,-1.3979571104436344,0,global_population_threshold,0.24447306179344205,0.24447306179344205,1.4723665527410148,2.9021465369500543,1,global_population_threshold,0,0,0,1,0,0.8540458441551744,0,0,0,4
3,156,3.8200607299804688,0.019149720668792725,0.4116807369090145,5.751804351806641,0.1273840069770813,0.382729062249465,0.12491029500961304,10.057568550109863,3.8200607299804688,0.019149720668792725,0.4116807369090145,2.354544257594766,2.354544257594766,1.0778932421928118,2.359859495853259,1,global_population_threshold,0.26882725174431354,0.26882725174431354,1.0778932421928118,2.0467088368367214,1,global_population_threshold,5.220368145077171,5.220368145077171,1.0778932421928118,1.4824065488471143,1,global_population_threshold,0.47773666387679203,0.47773666387679203,1.0778932421928118,0.634365305391749,0,global_population_threshold,0.016141935186954497,0.016141935186954497,1.0778932421928118,1.4429998423035386,1,global_population_threshold,0.20416856815638035,0.20416856815638035,1.0778932421928118,-0.007418476257463577,0,global_population_threshold,0.24447306179344205,0.24447306179344205,1.4723665527410148,0.4224172314520827,0,global_population_threshold,2,1,3,1,3,6.523340186928844,0,1,1,4
4,87,0.8382910490036011,0.004357635974884033,0.1584812987396588,3.5544090270996094,0.1566290259361267,0.03810988717587774,0.2699885368347168,6.602751731872559,0.8382910490036011,0.004357635974884033,0.1584812987396588,2.354544257594766,2.354544257594766,1.0778932421928118,-0.24845516947450147,0,global_population_threshold,0.26882725174431354,0.26882725174431354,1.0778932421928118,0.3295399209185714,0,global_population_threshold,5.220368145077171,5.220368145077171,1.0778932421928118,-0.190184888413081,0,global_population_threshold,0.47773666387679203,0.47773666387679203,1.0778932421928118,-0.9744347177926549,0,global_population_threshold,0.016141935186954497,0.016141935186954497,1.0778932421928118,-0.3525696175828394,0,global_population_threshold,0.20416856815638035,0.20416856815638035,1.0778932421928118,0.4059453731235487,0,global_population_threshold,0.24447306179344205,0.24447306179344205,1.4723665527410148,1.696432592869643,1,global_population_threshold,0,0,0,1,0,0.3295399209185714,0,0,0,4
5,5,3.9080982208251953,0.010139882564544678,0.25710216098415895,4.580107688903809,0.15175223350524902,0.1920238204693039,0.025469720363616943,8.311334609985352,3.9080982208251953,0.010139882564544678,0.25710216098415895,2.354544257594766,2.354544257594766,1.0778932421928118,2.4368706345518487,1,global_population_threshold,0.26882725174431354,0.26882725174431354,1.0778932421928118,0.9983750507739169,0,global_population_threshold,5.220368145077171,5.220368145077171,1.0778932421928118,0.5905461797080703,0,global_population_threshold,0.47773666387679203,0.47773666387679203,1.0778932421928118,-0.25591190373858297,0,global_population_threshold,0.016141935186954497,0.016141935186954497,1.0778932421928118,0.34932099491495455,0,global_population_threshold,0.20416856815638035,0.20416856815638035,1.0778932421928118,0.33701432901368417,0,global_population_threshold,0.24447306179344205,0.24447306179344205,1.4723665527410148,-0.45082756427625154,0,global_population_threshold,1,0,1,0,1,4.025791865033836,0,0,0,4
6,27,2.0571765899658203,0.0124281644821167,0.2887837986288439,3.6283814907073975,0.1315685510635376,0.05483897388491847,1.8538998365402222,7.245896816253662,2.0571765899658203,0.0124281644821167,0.2887837986288439,2.354544257594766,2.354544257594766,1.0778932421928118,0.8177697144025647,0,global_population_threshold,0.26882725174431354,0.26882725174431354,1.0778932421928118,1.2132362043458587,1,global_population_threshold,5.220368145077171,5.220368145077171,1.0778932421928118,-0.1338792670111043,0,global_population_threshold,0.47773666387679203,0.47773666387679203,1.0778932421928118,-0.8963376267656924,0,global_population_threshold,0.016141935186954497,0.016141935186954497,1.0778932421928118,0.6270890858788016,0,global_population_threshold,0.20416856815638035,0.20416856815638035,1.0778932421928118,0.05172798057692747,0,global_population_threshold,0.24447306179344205,0.24447306179344205,1.4723665527410148,15.605667372405641,1,global_population_threshold,1,0,1,1,1,2.0310059187484235,0,0,0,4
7,7,0.0,1.1920928955078125e-07,0.0,1.4259533882141113,0.02602595090866089,0.10194366512893158,0.0,6.194443702697754,0.0,1.1920928955078125e-07,0.0,2.354544257594766,2.354544257594766,1.0778932421928118,-0.9817535361722103,0,global_population_threshold,0.26882725174431354,0.26882725174431354,1.0778932421928118,-0.7452616738940387,0,global_population_threshold,5.220368145077171,5.220368145077171,1.0778932421928118,-1.8103015038257884,0,global_population_threshold,0.47773666387679203,0.47773666387679203,1.0778932421928118,-0.6764368381654048,0,global_population_threshold,0.016141935186954497,0.016141935186954497,1.0778932421928118,-0.8815162932644828,0,global_population_threshold,0.20416856815638035,0.20416856815638035,1.0778932421928118,-1.4400643665163195,0,global_population_threshold,0.24447306179344205,0.24447306179344205,1.4723665527410148,-0.6744918063159068,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,4
8,8,0.0,0.0,0.0,4.055179119110107,0.27024638652801514,0.29278232488271594,0.0,5.118257522583008,0.0,0.0,0.0,2.354544257594766,2.354544257594766,1.0778932421928118,-0.9817535361722103,0,global_population_threshold,0.26882725174431354,0.26882725174431354,1.0778932421928118,-0.7452616738940387,0,global_population_threshold,5.220368145077171,5.220368145077171,1.0778932421928118,0.19098629117174423,0,global_population_threshold,0.47773666387679203,0.47773666387679203,1.0778932421928118,0.21446321163829501,0,global_population_threshold,0.016141935186954497,0.016141935186954497,1.0778932421928118,-0.8815307637440725,0,global_population_threshold,0.20416856815638035,0.20416856815638035,1.0778932421928118,2.011870457205167,1,global_population_threshold,0.24447306179344205,0.24447306179344205,1.4723665527410148,-0.6744918063159068,0,global_population_threshold,0,0,0,1,0,0.4054495028100392,0,0,0,4
9,140,1.3127968311309814,0.010643064975738525,0.0,5.154873847961426,0.15778720378875732,0.26896592019551924,0.19807320833206177,8.97607135772705,1.3127968311309814,0.010643064975738525,0.0,2.354544257594766,2.354544257594766,1.0778932421928118,0.16662061528570554,0,global_population_threshold,0.26882725174431354,0.26882725174431354,1.0778932421928118,-0.7452616738940387,0,global_population_threshold,5.220368145077171,5.220368145077171,1.0778932421928118,1.0280409469251957,0,global_population_threshold,0.47773666387679203,0.47773666387679203,1.0778932421928118,0.10328009942537321,0,global_population_threshold,0.016141935186954497,0.016141935186954497,1.0778932421928118,0.41040088926302565,0,global_population_threshold,0.20416856815638035,0.20416856815638035,1.0778932421928118,0.4223156430865008,0,global_population_threshold,0.24447306179344205,0.24447306179344205,1.4723665527410148,1.064902791562671,0,global_population_threshold,0,0,0,0,0,1.2979416616362744,0,0,0,4
10,156,1.477101445198059,0.006152689456939697,0.2364383939347909,2.943772792816162,0.13789665699005127,0.26539006859434033,0.2146243453025818,5.2603960037231445,1.477101445198059,0.006152689456939697,0.2364383939347909,2.354544257594766,2.354544257594766,1.0778932421928118,0.31034671766923205,0,global_population_threshold,0.26882725174431354,0.26882725174431354,1.0778932421928118,0.858235804338405,0,global_population_threshold,5.220368145077171,5.220368145077171,1.0778932421928118,-0.6549828814093916,0,global_population_threshold,0.47773666387679203,0.47773666387679203,1.0778932421928118,0.08658680272285457,0,global_population_threshold,0.016141935186954497,0.016141935186954497,1.0778932421928118,-0.1346731359213245,0,global_population_threshold,0.20416856815638035,0.20416856815638035,1.0778932421928118,0.1411726216878687,0,global_population_threshold,0.24447306179344205,0.24447306179344205,1.4723665527410148,1.2102478307918403,0,global_population_threshold,0,0,0,0,0,1.2551693247304914,0,0,0,4
