checkpoint_round,eval_round,eval_tag,checkpoint_path,num_excluded_poisoned_clients,num_benign_clients,accuracy,f1,precision,recall,f1_macro,precision_macro,recall_macro
1,2,round_2_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/test-DFL_IDS/DPF_IDS-DataPoison/DFL-FFNN-DataPoison-500c-50p/FFNN_checkpoint_round1.pt,126,374,0.2929996278856472,0.24256031547911383,0.23442529465816422,0.2929996278856472,0.05665504555919306,0.05210076888495628,0.13675344149215424
2,3,round_3_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/test-DFL_IDS/DPF_IDS-DataPoison/DFL-FFNN-DataPoison-500c-50p/FFNN_checkpoint_round2.pt,147,353,0.3047944132913427,0.26151927164821775,0.2665752218679949,0.3047944132913427,0.08052969567137779,0.07374073311545876,0.16634739006998747
3,4,round_4_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/test-DFL_IDS/DPF_IDS-DataPoison/DFL-FFNN-DataPoison-500c-50p/FFNN_checkpoint_round3.pt,145,355,0.3267707752652437,0.2880515504321613,0.31061031233284064,0.3267707752652437,0.10583192645011648,0.10045009585117905,0.1924378833723492
4,5,round_5_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/test-DFL_IDS/DPF_IDS-DataPoison/DFL-FFNN-DataPoison-500c-50p/FFNN_checkpoint_round4.pt,148,352,0.3385670361332436,0.30606974648989965,0.34139829817647893,0.33856703613324357,0.12201317862092059,0.11774712017936384,0.20874000436801837
5,6,round_6_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/test-DFL_IDS/DPF_IDS-DataPoison/DFL-FFNN-DataPoison-500c-50p/FFNN_checkpoint_round5.pt,161,339,0.3619099873795366,0.33305834089893604,0.37425627721599575,0.3619099873795366,0.138718778443302,0.13525804235337952,0.22509497496855865
6,7,round_7_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/test-DFL_IDS/DPF_IDS-DataPoison/DFL-FFNN-DataPoison-500c-50p/FFNN_checkpoint_round6.pt,173,327,0.37405997511990113,0.34677864923497104,0.39132412897989244,0.374059975119901,0.1502117851978776,0.14647892518857683,0.23551849899006927
7,8,round_8_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/test-DFL_IDS/DPF_IDS-DataPoison/DFL-FFNN-DataPoison-500c-50p/FFNN_checkpoint_round7.pt,179,321,0.3845302879980381,0.35899382291342957,0.40674733383815215,0.3845302879980381,0.1597422202372289,0.1563194857922113,0.24642072680129423
8,9,round_9_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/test-DFL_IDS/DPF_IDS-DataPoison/DFL-FFNN-DataPoison-500c-50p/FFNN_checkpoint_round8.pt,182,318,0.3877239010730196,0.36323314188296474,0.40830886851758424,0.3877239010730195,0.16524653744950668,0.16232415107090464,0.2523994978203049
9,10,round_10_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/test-DFL_IDS/DPF_IDS-DataPoison/DFL-FFNN-DataPoison-500c-50p/FFNN_checkpoint_round9.pt,191,309,0.3920965227350111,0.37201917663894246,0.42567021872890426,0.3920965227350111,0.17206815115339266,0.1720699066988088,0.2585741288202247
