round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,precision,recall,f1,accuracy,false_positive_rate
1,botpa,200,79,100,78,1,22,99,0.9873417721518988,0.78,0.8715083798882681,0.885,0.9873417721518988,0.78,0.8715083798882681,0.885,0.01
2,botpa,200,62,100,62,0,38,100,1.0,0.62,0.7654320987654321,0.81,1.0,0.62,0.7654320987654321,0.81,0.0
3,botpa,200,68,100,68,0,32,100,1.0,0.68,0.8095238095238095,0.84,1.0,0.68,0.8095238095238095,0.84,0.0
4,botpa,200,59,100,59,0,41,100,1.0,0.59,0.7421383647798743,0.795,1.0,0.59,0.7421383647798743,0.795,0.0
5,botpa,200,81,100,81,0,19,100,1.0,0.81,0.8950276243093923,0.905,1.0,0.81,0.8950276243093923,0.905,0.0
6,botpa,200,79,100,79,0,21,100,1.0,0.79,0.8826815642458101,0.895,1.0,0.79,0.8826815642458101,0.895,0.0
7,botpa,200,89,100,88,1,12,99,0.9887640449438202,0.88,0.9312169312169312,0.935,0.9887640449438202,0.88,0.9312169312169312,0.935,0.01
8,botpa,200,87,100,86,1,14,99,0.9885057471264368,0.86,0.9197860962566845,0.925,0.9885057471264368,0.86,0.9197860962566845,0.925,0.01
9,botpa,200,93,100,92,1,8,99,0.989247311827957,0.92,0.9533678756476685,0.955,0.989247311827957,0.92,0.9533678756476685,0.955,0.01
10,botpa,200,91,100,91,0,9,100,1.0,0.91,0.9528795811518325,0.955,1.0,0.91,0.9528795811518325,0.955,0.0
