round,cluster_id,num_members,num_poisoned,suspicious_ratio,cluster_status,cluster_forced_poisoned,cluster_dE_global,cluster_dC_global,cluster_dN_global,lambda_cluster_dE_global,lambda_cluster_dN_global,flag_cluster_dE_global,flag_cluster_dN_global,members,poisoned_members,benign_members
8,1,2,2,1.0,CONTAMINATED,0,6.288331985473633,0.5838748514652252,0.008050739015646008,5.237977135000296,0.41920537614099074,1,0,1;150,1;150,
8,3,1,1,1.0,CONTAMINATED,0,9.75692367553711,0.2165660858154297,0.6867639878225444,5.237977135000296,0.41920537614099074,1,1,3,3,
8,7,2,0,0.0,MOSTLY_BENIGN,0,2.762267827987671,0.18360751867294312,0.39233030331862084,5.237977135000296,0.41920537614099074,0,0,7;182,,7;182
8,11,5,3,0.6,CONTAMINATED,0,6.806775093078613,0.24280917644500732,0.3877798831468974,5.237977135000296,0.41920537614099074,1,0,11;79;86;131;142,11;131;142,79;86
8,12,1,1,1.0,CONTAMINATED,0,3.2133498191833496,0.25314241647720337,0.4144389569921906,5.237977135000296,0.41920537614099074,0,0,12,12,
8,14,2,0,0.0,MOSTLY_BENIGN,0,3.2584002017974854,0.2551518678665161,0.38749596932522506,5.237977135000296,0.41920537614099074,0,0,14;194,,14;194
8,15,4,3,0.75,CONTAMINATED,0,5.966704368591309,0.24171209335327148,0.28401011263640935,5.237977135000296,0.41920537614099074,1,0,15;41;44;81,15;41;44,81
8,19,2,1,0.5,CONTAMINATED,0,2.3044183254241943,0.12860649824142456,0.53556992828097,5.237977135000296,0.41920537614099074,0,1,19;147,19,147
8,20,2,0,0.0,MOSTLY_BENIGN,0,3.978389263153076,0.30487698316574097,0.19332834594824472,5.237977135000296,0.41920537614099074,0,0,20;163,,20;163
8,22,1,1,1.0,CONTAMINATED,0,1.8244274854660034,0.07239705324172974,0.5416991273605053,5.237977135000296,0.41920537614099074,0,1,22,22,
8,23,1,0,0.0,MOSTLY_BENIGN,0,4.165928840637207,0.33816033601760864,0.19928482881639453,5.237977135000296,0.41920537614099074,0,0,23,,23
8,25,21,10,0.47619047619047616,CONTAMINATED,0,5.718551158905029,0.1692206859588623,0.3180874013402798,5.237977135000296,0.41920537614099074,1,0,25;2;4;26;37;56;63;85;87;88;116;118;130;135;136;137;138;139;148;166;174,25;37;63;85;136;137;138;139;148;166,2;4;26;56;87;88;116;118;130;135;174
8,27,2,2,1.0,CONTAMINATED,0,2.534205913543701,0.1290053129196167,0.7804572967745727,5.237977135000296,0.41920537614099074,0,1,27;107,27;107,
8,32,10,1,0.1,MOSTLY_BENIGN,0,2.356055736541748,0.08992958068847656,0.1545757133430088,5.237977135000296,0.41920537614099074,0,0,32;5;38;39;49;78;117;143;146;168,78,32;5;38;39;49;117;143;146;168
8,35,5,2,0.4,CONTAMINATED,0,3.265413999557495,0.2100389003753662,0.21628981203303566,5.237977135000296,0.41920537614099074,0,0,35;83;156;162;169,35;83,156;162;169
8,36,3,2,0.6666666666666666,CONTAMINATED,0,5.983217716217041,0.5704295337200165,0.043525122909354085,5.237977135000296,0.41920537614099074,1,0,36;8;132,36;8,132
8,40,2,0,0.0,MOSTLY_BENIGN,0,2.5913875102996826,0.142583429813385,0.2720705321949233,5.237977135000296,0.41920537614099074,0,0,40;94,,40;94
8,42,2,0,0.0,MOSTLY_BENIGN,0,3.9296064376831055,0.32323670387268066,0.25411260244994816,5.237977135000296,0.41920537614099074,0,0,42;196,,42;196
8,45,1,0,0.0,MOSTLY_BENIGN,0,2.3964686393737793,0.11367917060852051,0.23295222864152737,5.237977135000296,0.41920537614099074,0,0,45,,45
8,47,2,0,0.0,MOSTLY_BENIGN,0,1.6609768867492676,0.06441760063171387,0.35706891777789596,5.237977135000296,0.41920537614099074,0,0,47;89,,47;89
8,48,3,1,0.3333333333333333,CONTAMINATED,0,4.930131435394287,0.43141764402389526,0.12780552728804798,5.237977135000296,0.41920537614099074,0,0,48;165;200,165,48;200
8,50,1,0,0.0,MOSTLY_BENIGN,0,3.344691753387451,0.2395530343055725,0.27439595793088845,5.237977135000296,0.41920537614099074,0,0,50,,50
8,52,2,2,1.0,CONTAMINATED,0,2.574895143508911,0.1654089093208313,0.5443551303479905,5.237977135000296,0.41920537614099074,0,1,52;31,52;31,
8,53,4,1,0.25,MOSTLY_BENIGN,0,4.221205234527588,0.16412663459777832,0.10581973304655663,5.237977135000296,0.41920537614099074,0,0,53;73;98;141,98,53;73;141
8,54,7,1,0.14285714285714285,MOSTLY_BENIGN,0,4.128940582275391,0.18926072120666504,0.05249650050912389,5.237977135000296,0.41920537614099074,0,0,54;24;55;65;127;191;197,191,54;24;55;65;127;197
8,57,18,9,0.5,CONTAMINATED,0,5.582247734069824,0.17224115133285522,0.29797314164173816,5.237977135000296,0.41920537614099074,1,0,57;13;18;21;28;29;33;61;77;101;134;140;149;161;181;183;193;199,57;21;33;61;140;161;183;193;199,13;18;28;29;77;101;134;149;181
8,58,3,1,0.3333333333333333,CONTAMINATED,0,5.164366722106934,0.32658493518829346,0.06768380886373626,5.237977135000296,0.41920537614099074,0,0,58;6;155,6,58;155
8,59,1,0,0.0,MOSTLY_BENIGN,0,3.677419662475586,0.2540481686592102,0.18134537253478772,5.237977135000296,0.41920537614099074,0,0,59,,59
8,62,1,1,1.0,CONTAMINATED,0,3.9973814487457275,0.4748383164405823,0.8174917531071297,5.237977135000296,0.41920537614099074,0,1,62,62,
8,64,10,1,0.1,MOSTLY_BENIGN,0,3.7294423580169678,0.14142769575119019,0.05083320836444825,5.237977135000296,0.41920537614099074,0,0,64;60;99;104;111;125;158;167;177;184,104,64;60;99;111;125;158;167;177;184
8,66,2,1,0.5,CONTAMINATED,0,4.286115646362305,0.4908514618873596,0.523911815010174,5.237977135000296,0.41920537614099074,0,1,66;154,154,66
