round,cluster_id,num_members,num_poisoned,suspicious_ratio,cluster_status,cluster_forced_poisoned,cluster_dE_global,cluster_dC_global,cluster_dN_global,lambda_cluster_dE_global,lambda_cluster_dN_global,flag_cluster_dE_global,flag_cluster_dN_global,members,poisoned_members,benign_members
3,85,1,0,0.0,MOSTLY_BENIGN,0,7419978240.0,0.8184835016727448,9.614599654865701,10990981896.503544,18.535537423490865,0,0,85,,85
3,86,1,1,1.0,POISONED_BY_CENTROID,1,14684533030912.0,0.2889103889465332,17.20497357437975,10990981896.503544,18.535537423490865,1,0,86,86,
3,87,12,0,0.0,MOSTLY_BENIGN,0,1.6653116941452026,0.09684038162231445,11.85052847292234,10990981896.503544,18.535537423490865,0,0,87;45;60;102;110;119;159;190;259;314;409;448,,87;45;60;102;110;119;159;190;259;314;409;448
3,89,2,2,1.0,CONTAMINATED,0,494953120.0,0.986832576803863,6.907131302336117,10990981896.503544,18.535537423490865,0,0,89;344,89;344,
3,90,1,0,0.0,MOSTLY_BENIGN,0,4.076047897338867,0.29603075981140137,11.3663064166672,10990981896.503544,18.535537423490865,0,0,90,,90
3,92,1,0,0.0,MOSTLY_BENIGN,0,3285775616.0,0.12301093339920044,8.800026262744032,10990981896.503544,18.535537423490865,0,0,92,,92
3,96,2,2,1.0,POISONED_BY_CENTROID,1,1112698257408.0,0.8660934716463089,14.62496673737441,10990981896.503544,18.535537423490865,1,0,96;212,96;212,
3,99,1,1,1.0,POISONED_BY_CENTROID,1,42568392704.0,0.7468283474445343,11.361535552890366,10990981896.503544,18.535537423490865,1,0,99,99,
3,101,3,0,0.0,MOSTLY_BENIGN,0,4.060534954071045,0.09384232759475708,11.134751408300266,10990981896.503544,18.535537423490865,0,0,101;198;350,,101;198;350
3,103,1,0,0.0,MOSTLY_BENIGN,0,127184224.0,0.8543997257947922,5.548304869380164,10990981896.503544,18.535537423490865,0,0,103,,103
3,104,1,1,1.0,POISONED_BY_CENTROID,1,2737493245952.0,0.6939944922924042,15.525221437194835,10990981896.503544,18.535537423490865,1,0,104,104,
3,107,1,0,0.0,MOSTLY_BENIGN,0,2.62136173248291,0.26075929403305054,11.984771554092891,10990981896.503544,18.535537423490865,0,0,107,,107
3,108,2,0,0.0,MOSTLY_BENIGN,0,3.8121039867401123,0.5742441415786743,11.968591000161585,10990981896.503544,18.535537423490865,0,0,108;479,,108;479
3,114,2,2,1.0,POISONED_BY_CENTROID,1,10519237885952.0,0.424845814704895,16.871384569671612,10990981896.503544,18.535537423490865,1,0,114;151,114;151,
3,116,1,0,0.0,MOSTLY_BENIGN,0,23477470.0,0.9710351638495922,3.8587094891997578,10990981896.503544,18.535537423490865,0,0,116,,116
