round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,precision,recall,f1,false_positive_rate
1,data_poison,500,126,100,40,86,60,314,0.31746031746031744,0.4,0.35398230088495575,0.215
2,data_poison,500,104,100,29,75,71,325,0.27884615384615385,0.29,0.2843137254901961,0.1875
3,data_poison,500,128,100,37,91,63,309,0.2890625,0.37,0.32456140350877194,0.2275
4,data_poison,500,152,100,48,104,52,296,0.3157894736842105,0.48,0.38095238095238093,0.26
5,data_poison,500,158,100,55,103,45,297,0.34810126582278483,0.55,0.4263565891472868,0.2575
6,data_poison,500,159,100,57,102,43,298,0.3584905660377358,0.57,0.4401544401544401,0.255
7,data_poison,500,166,100,60,106,40,294,0.3614457831325301,0.6,0.4511278195488722,0.265
8,data_poison,500,174,100,61,113,39,287,0.3505747126436782,0.61,0.44525547445255476,0.2825
9,data_poison,500,181,100,64,117,36,283,0.35359116022099446,0.64,0.4555160142348754,0.2925
10,data_poison,500,182,100,66,116,34,284,0.3626373626373626,0.66,0.46808510638297873,0.29
