round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,precision,recall,f1,false_positive_rate
1,pga,200,100,100,100,0,0,100,1.0,1.0,1.0,0.0
2,pga,200,93,100,93,0,7,100,1.0,0.93,0.9637305699481865,0.0
3,pga,200,92,100,92,0,8,100,1.0,0.92,0.9583333333333334,0.0
4,pga,200,100,100,100,0,0,100,1.0,1.0,1.0,0.0
5,pga,200,97,100,97,0,3,100,1.0,0.97,0.9847715736040609,0.0
6,pga,200,98,100,98,0,2,100,1.0,0.98,0.98989898989899,0.0
7,pga,200,91,100,91,0,9,100,1.0,0.91,0.9528795811518325,0.0
8,pga,200,98,100,98,0,2,100,1.0,0.98,0.98989898989899,0.0
9,pga,200,99,100,99,0,1,100,1.0,0.99,0.9949748743718593,0.0
10,pga,200,99,100,99,0,1,100,1.0,0.99,0.9949748743718593,0.0
