round,cluster_id,num_members,num_poisoned,suspicious_ratio,cluster_status,cluster_forced_poisoned,cluster_dE_global,cluster_dC_global,cluster_dN_global,lambda_cluster_dE_global,lambda_cluster_dN_global,flag_cluster_dE_global,flag_cluster_dN_global,members,poisoned_members,benign_members
8,1,1,0,0.0,MOSTLY_BENIGN,0,5.48016357421875,0.42677485942840576,0.12016807756131266,4.45862797241276,0.4371606837464277,1,0,1,,1
8,4,1,0,0.0,MOSTLY_BENIGN,0,5.224461555480957,0.20105797052383423,0.26803749809425265,4.45862797241276,0.4371606837464277,1,0,4,,4
8,5,1,1,1.0,CONTAMINATED,0,6.157443523406982,0.5339882969856262,0.15496181813841106,4.45862797241276,0.4371606837464277,1,0,5,5,
8,6,2,0,0.0,MOSTLY_BENIGN,0,3.134941577911377,0.21554911136627197,0.1605837957041661,4.45862797241276,0.4371606837464277,0,0,6;380,,6;380
8,7,4,0,0.0,MOSTLY_BENIGN,0,3.6929562091827393,0.2606942057609558,0.07986647809533509,4.45862797241276,0.4371606837464277,0,0,7;241;314;339,,7;241;314;339
8,9,1,1,1.0,CONTAMINATED,0,6.021817684173584,0.242254376411438,0.34630063608169126,4.45862797241276,0.4371606837464277,1,0,9,9,
8,12,2,0,0.0,MOSTLY_BENIGN,0,2.4221463203430176,0.20124030113220215,0.44631786894471814,4.45862797241276,0.4371606837464277,0,1,12;345,,12;345
8,14,4,1,0.25,MOSTLY_BENIGN,0,2.6426830291748047,0.21008020639419556,0.33718653862691345,4.45862797241276,0.4371606837464277,0,0,14;99;152;394,99,14;152;394
8,16,7,2,0.2857142857142857,MOSTLY_BENIGN,0,1.8662264347076416,0.08235734701156616,0.25459512877275015,4.45862797241276,0.4371606837464277,0,0,16;48;111;134;140;233;454,16;48,111;134;140;233;454
8,18,6,1,0.16666666666666666,MOSTLY_BENIGN,0,4.7385149002075195,0.3222348690032959,0.07739107025014665,4.45862797241276,0.4371606837464277,1,0,18;71;82;166;320;332,166,18;71;82;320;332
8,22,18,7,0.3888888888888889,CONTAMINATED,0,4.907289981842041,0.3738936185836792,0.059158658279029504,4.45862797241276,0.4371606837464277,1,0,22;29;75;98;100;112;211;226;231;246;258;269;270;277;300;414;477;499,75;112;226;231;270;414;477,22;29;98;100;211;246;258;269;277;300;499
8,25,1,1,1.0,CONTAMINATED,0,6.644994735717773,0.503656417131424,0.255112123470417,4.45862797241276,0.4371606837464277,1,0,25,25,
8,26,5,4,0.8,CONTAMINATED,0,1.9618175029754639,0.1361047625541687,0.6863511777911183,4.45862797241276,0.4371606837464277,0,1,26;74;162;218;352,26;74;218;352,162
8,27,4,1,0.25,MOSTLY_BENIGN,0,1.773300290107727,0.10719895362854004,0.43992200181456903,4.45862797241276,0.4371606837464277,0,1,27;210;286;495,495,27;210;286
8,28,1,0,0.0,MOSTLY_BENIGN,0,4.988287925720215,0.48589420318603516,0.036067444607846624,4.45862797241276,0.4371606837464277,1,0,28,,28
8,34,6,3,0.5,CONTAMINATED,0,1.21592116355896,0.050834596157073975,0.5245982066324388,4.45862797241276,0.4371606837464277,0,1,34;143;406;411;438;467,143;411;438,34;406;467
8,36,1,0,0.0,MOSTLY_BENIGN,0,3.3560073375701904,0.33816081285476685,0.3292130954046556,4.45862797241276,0.4371606837464277,0,0,36,,36
8,37,1,1,1.0,CONTAMINATED,0,2.789701223373413,0.29776138067245483,0.6001778099110618,4.45862797241276,0.4371606837464277,0,1,37,37,
8,39,1,0,0.0,MOSTLY_BENIGN,0,3.2480015754699707,0.30599308013916016,0.3053670511816685,4.45862797241276,0.4371606837464277,0,0,39,,39
8,41,1,1,1.0,CONTAMINATED,0,3.1037423610687256,0.3575681447982788,0.5403586411546598,4.45862797241276,0.4371606837464277,0,1,41,41,
8,45,4,1,0.25,MOSTLY_BENIGN,0,3.73286771774292,0.31991255283355713,0.1582008029809805,4.45862797241276,0.4371606837464277,0,0,45;55;119;448,55,45;119;448
8,46,1,0,0.0,MOSTLY_BENIGN,0,4.766748905181885,0.25852078199386597,0.1451800117756059,4.45862797241276,0.4371606837464277,1,0,46,,46
8,53,1,1,1.0,CONTAMINATED,0,6.50584077835083,0.34032195806503296,0.34374265508764357,4.45862797241276,0.4371606837464277,1,0,53,53,
8,60,1,1,1.0,CONTAMINATED,0,6.0404744148254395,0.33472365140914917,0.28306048760539243,4.45862797241276,0.4371606837464277,1,0,60,60,
8,61,2,0,0.0,MOSTLY_BENIGN,0,1.577348232269287,0.06959980726242065,0.3251432973183301,4.45862797241276,0.4371606837464277,0,0,61;115,,61;115
8,63,1,0,0.0,MOSTLY_BENIGN,0,4.009812355041504,0.3919585347175598,0.18281092301645824,4.45862797241276,0.4371606837464277,0,0,63,,63
8,65,2,0,0.0,MOSTLY_BENIGN,0,4.689079761505127,0.3332359194755554,0.05638679625109944,4.45862797241276,0.4371606837464277,1,0,65;113,,65;113
8,70,27,14,0.5185185185185185,CONTAMINATED,0,5.599436283111572,0.1223645806312561,0.3783093091243363,4.45862797241276,0.4371606837464277,1,0,70;32;38;40;56;133;153;182;194;214;220;242;255;278;289;355;359;379;397;401;423;428;444;449;455;476;481,70;32;38;40;214;220;242;278;359;379;397;401;476;481,56;133;153;182;194;255;289;355;423;428;444;449;455
8,73,1,1,1.0,CONTAMINATED,0,2.9452710151672363,0.30950629711151123,1.2674914844377174,4.45862797241276,0.4371606837464277,0,1,73,73,
8,77,3,0,0.0,MOSTLY_BENIGN,0,4.627633571624756,0.2684563398361206,0.11066018829825039,4.45862797241276,0.4371606837464277,1,0,77;193;484,,77;193;484
8,78,1,0,0.0,MOSTLY_BENIGN,0,1.3715053796768188,0.059111595153808594,0.3818968109140459,4.45862797241276,0.4371606837464277,0,0,78,,78
8,79,1,0,0.0,MOSTLY_BENIGN,0,4.227906703948975,0.309536874294281,0.015641894835766175,4.45862797241276,0.4371606837464277,0,0,79,,79
8,80,2,0,0.0,MOSTLY_BENIGN,0,3.3782944679260254,0.2625575661659241,0.1713917462256916,4.45862797241276,0.4371606837464277,0,0,80;161,,80;161
8,84,4,1,0.25,MOSTLY_BENIGN,0,1.7917163372039795,0.10485100746154785,0.40210746801922065,4.45862797241276,0.4371606837464277,0,0,84;154;158;417,417,84;154;158
8,87,3,2,0.6666666666666666,CONTAMINATED,0,5.694671154022217,0.364692747592926,0.20786671220669928,4.45862797241276,0.4371606837464277,1,0,87;110;159,87;159,110
8,90,1,1,1.0,CONTAMINATED,0,7.5824408531188965,0.4957692623138428,0.3894774790742361,4.45862797241276,0.4371606837464277,1,0,90,90,
8,91,7,4,0.5714285714285714,CONTAMINATED,0,5.712105751037598,0.3839108347892761,0.19548947683761386,4.45862797241276,0.4371606837464277,1,0,91;62;185;201;224;248;400,62;224;248;400,91;185;201
8,92,2,0,0.0,MOSTLY_BENIGN,0,3.0181210041046143,0.12503939867019653,0.03324300238584768,4.45862797241276,0.4371606837464277,0,0,92;145,,92;145
8,93,1,1,1.0,CONTAMINATED,0,6.710467338562012,0.3968369960784912,0.3344988360505421,4.45862797241276,0.4371606837464277,1,0,93,93,
8,101,2,2,1.0,CONTAMINATED,0,6.521966457366943,0.34879642724990845,0.3403219559715508,4.45862797241276,0.4371606837464277,1,0,101;240,101;240,
8,104,2,2,1.0,CONTAMINATED,0,1.7178528308868408,0.07684063911437988,0.79993661132116,4.45862797241276,0.4371606837464277,0,1,104;250,104;250,
8,107,1,0,0.0,MOSTLY_BENIGN,0,3.0281360149383545,0.2944986820220947,0.3844872282013947,4.45862797241276,0.4371606837464277,0,0,107,,107
8,108,2,0,0.0,MOSTLY_BENIGN,0,5.158838748931885,0.48820066452026367,0.00014893126769143707,4.45862797241276,0.4371606837464277,1,0,108;479,,108;479
8,109,4,1,0.25,MOSTLY_BENIGN,0,2.998265504837036,0.13513904809951782,0.05433525516588472,4.45862797241276,0.4371606837464277,0,0,109;24;157;370,24,109;157;370
8,117,1,1,1.0,CONTAMINATED,0,2.775885581970215,0.13439977169036865,1.501968690356863,4.45862797241276,0.4371606837464277,0,1,117,117,
8,121,1,0,0.0,MOSTLY_BENIGN,0,2.679517984390259,0.24461692571640015,0.43926068891501074,4.45862797241276,0.4371606837464277,0,1,121,,121
8,125,2,0,0.0,MOSTLY_BENIGN,0,3.237192392349243,0.3009604811668396,0.2987452007545502,4.45862797241276,0.4371606837464277,0,0,125;290,,125;290
8,129,1,0,0.0,MOSTLY_BENIGN,0,2.644291400909424,0.2332303524017334,0.4185919485701652,4.45862797241276,0.4371606837464277,0,0,129,,129
8,130,4,0,0.0,MOSTLY_BENIGN,0,1.8158950805664062,0.057758450508117676,0.1909936961265871,4.45862797241276,0.4371606837464277,0,0,130;11;68;389,,130;11;68;389
8,137,4,1,0.25,MOSTLY_BENIGN,0,0.7961879968643188,0.02169215679168701,0.4668208988736832,4.45862797241276,0.4371606837464277,0,1,137;160;321;348,160,137;321;348
8,139,4,1,0.25,MOSTLY_BENIGN,0,5.41140604019165,0.6288282573223114,0.07609652334665505,4.45862797241276,0.4371606837464277,1,0,139;15;422;433,139,15;422;433
8,144,11,6,0.5454545454545454,CONTAMINATED,0,5.57993221282959,0.3357253670692444,0.2125992116531591,4.45862797241276,0.4371606837464277,1,0,144;51;141;168;178;292;334;338;399;415;447,144;141;334;399;415;447,51;168;178;292;338
8,150,1,1,1.0,CONTAMINATED,0,2.245530605316162,0.18867790699005127,0.6211830242135787,4.45862797241276,0.4371606837464277,0,1,150,150,
8,151,3,0,0.0,MOSTLY_BENIGN,0,5.183170318603516,0.21641004085540771,0.24932309601598956,4.45862797241276,0.4371606837464277,1,0,151;170;268,,151;170;268
8,156,1,1,1.0,CONTAMINATED,0,7.964897155761719,0.3468171954154968,0.5147164591169737,4.45862797241276,0.4371606837464277,1,1,156,156,
8,164,4,0,0.0,MOSTLY_BENIGN,0,3.370201349258423,0.11386299133300781,0.05472299790085219,4.45862797241276,0.4371606837464277,0,0,164;254;388;396,,164;254;388;396
8,165,1,1,1.0,CONTAMINATED,0,6.199461936950684,0.3410632014274597,0.30123268543143644,4.45862797241276,0.4371606837464277,1,0,165,165,
8,167,1,0,0.0,MOSTLY_BENIGN,0,1.5644999742507935,0.06654775142669678,0.31548114562844365,4.45862797241276,0.4371606837464277,0,0,167,,167
8,171,2,0,0.0,MOSTLY_BENIGN,0,3.3364758491516113,0.33926600217819214,0.3407446717337051,4.45862797241276,0.4371606837464277,0,0,171;341,,171;341
8,174,1,1,1.0,CONTAMINATED,0,2.312232732772827,0.20163428783416748,0.6739208023411991,4.45862797241276,0.4371606837464277,0,1,174,174,
8,175,1,0,0.0,MOSTLY_BENIGN,0,1.8874272108078003,0.10254555940628052,0.3264700108293182,4.45862797241276,0.4371606837464277,0,0,175,,175
8,179,1,0,0.0,MOSTLY_BENIGN,0,3.256351947784424,0.2361258864402771,0.16161628306300366,4.45862797241276,0.4371606837464277,0,0,179,,179
8,180,1,0,0.0,MOSTLY_BENIGN,0,2.268064022064209,0.1060173511505127,0.18884200224901077,4.45862797241276,0.4371606837464277,0,0,180,,180
8,186,6,1,0.16666666666666666,MOSTLY_BENIGN,0,3.3319950103759766,0.22074222564697266,0.1130577699285144,4.45862797241276,0.4371606837464277,0,0,186;184;229;256;365;480,229,186;184;256;365;480
8,188,1,1,1.0,CONTAMINATED,0,2.5783510208129883,0.2590762972831726,0.7352843905850749,4.45862797241276,0.4371606837464277,0,1,188,188,
8,189,2,0,0.0,MOSTLY_BENIGN,0,2.3040285110473633,0.12431204319000244,0.2262163595414945,4.45862797241276,0.4371606837464277,0,0,189;298,,189;298
8,190,2,0,0.0,MOSTLY_BENIGN,0,2.942567825317383,0.23609375953674316,0.2715509355361774,4.45862797241276,0.4371606837464277,0,0,190;409,,190;409
8,191,2,0,0.0,MOSTLY_BENIGN,0,3.3475615978240967,0.37615352869033813,0.42447898531038253,4.45862797241276,0.4371606837464277,0,0,191;280,,191;280
8,192,1,0,0.0,MOSTLY_BENIGN,0,3.520252227783203,0.19925165176391602,0.032781552301750366,4.45862797241276,0.4371606837464277,0,0,192,,192
8,195,1,0,0.0,MOSTLY_BENIGN,0,2.8689446449279785,0.25558972358703613,0.3579947598284246,4.45862797241276,0.4371606837464277,0,0,195,,195
8,199,1,0,0.0,MOSTLY_BENIGN,0,3.6989059448242188,0.3840203285217285,0.27730906172776904,4.45862797241276,0.4371606837464277,0,0,199,,199
8,200,5,0,0.0,MOSTLY_BENIGN,0,4.601316928863525,0.18711161613464355,0.1858845921940653,4.45862797241276,0.4371606837464277,1,0,200;58;440;441;483,,200;58;440;441;483
8,203,1,0,0.0,MOSTLY_BENIGN,0,4.872181415557861,0.36149299144744873,0.06441366607976041,4.45862797241276,0.4371606837464277,1,0,203,,203
8,204,1,0,0.0,MOSTLY_BENIGN,0,3.478877544403076,0.28140199184417725,0.17288302994319063,4.45862797241276,0.4371606837464277,0,0,204,,204
8,208,5,2,0.4,CONTAMINATED,0,4.100286960601807,0.3870478868484497,0.14856233901737023,4.45862797241276,0.4371606837464277,0,0,208;120;136;363;436,120;363,208;136;436
8,209,1,0,0.0,MOSTLY_BENIGN,0,4.424676895141602,0.3156591057777405,0.020543186653888563,4.45862797241276,0.4371606837464277,0,0,209,,209
8,212,15,3,0.2,MOSTLY_BENIGN,0,2.560701370239258,0.1114535927772522,0.11812265576789333,4.45862797241276,0.4371606837464277,0,0,212;64;85;96;124;147;183;238;294;333;378;404;432;439;451,212;96;432,64;85;124;147;183;238;294;333;378;404;439;451
8,213,10,6,0.6,CONTAMINATED,0,5.952877044677734,0.39188992977142334,0.22781465687888525,4.45862797241276,0.4371606837464277,1,0,213;106;118;173;361;369;384;386;464;500,213;118;173;384;464;500,106;361;369;386
8,217,1,0,0.0,MOSTLY_BENIGN,0,2.1141576766967773,0.08677685260772705,0.18517711438886486,4.45862797241276,0.4371606837464277,0,0,217,,217
8,222,7,1,0.14285714285714285,MOSTLY_BENIGN,0,2.751228094100952,0.2398877739906311,0.3744632119023376,4.45862797241276,0.4371606837464277,0,0,222;169;176;284;349;392;427,222,169;176;284;349;392;427
8,225,1,1,1.0,CONTAMINATED,0,3.242903709411621,0.46443653106689453,1.093539469015165,4.45862797241276,0.4371606837464277,0,1,225,225,
8,227,2,1,0.5,CONTAMINATED,0,2.7879505157470703,0.15484774112701416,0.14468436772373094,4.45862797241276,0.4371606837464277,0,0,227;460,460,227
8,230,2,2,1.0,CONTAMINATED,0,2.511230707168579,0.2431221604347229,0.6786315673137342,4.45862797241276,0.4371606837464277,0,1,230;329,230;329,
8,237,1,0,0.0,MOSTLY_BENIGN,0,4.507808685302734,0.2875978946685791,0.06816224163643186,4.45862797241276,0.4371606837464277,1,0,237,,237
8,243,1,0,0.0,MOSTLY_BENIGN,0,3.078639507293701,0.264673113822937,0.2830415266344616,4.45862797241276,0.4371606837464277,0,0,243,,243
8,244,1,1,1.0,CONTAMINATED,0,2.3020834922790527,0.1769896149635315,0.8954806629063972,4.45862797241276,0.4371606837464277,0,1,244,244,
8,247,1,0,0.0,MOSTLY_BENIGN,0,2.6558659076690674,0.24381083250045776,0.4544365350727555,4.45862797241276,0.4371606837464277,0,1,247,,247
8,251,1,0,0.0,MOSTLY_BENIGN,0,3.105670928955078,0.23056918382644653,0.1991667564844135,4.45862797241276,0.4371606837464277,0,0,251,,251
8,252,1,0,0.0,MOSTLY_BENIGN,0,3.754479169845581,0.24439775943756104,0.04166627377111563,4.45862797241276,0.4371606837464277,0,0,252,,252
8,253,3,1,0.3333333333333333,CONTAMINATED,0,3.645651340484619,0.2441328763961792,0.06771176019662473,4.45862797241276,0.4371606837464277,0,0,253;276;475,253,276;475
8,257,1,0,0.0,MOSTLY_BENIGN,0,2.228003740310669,0.1701143980026245,0.4453849988520171,4.45862797241276,0.4371606837464277,0,1,257,,257
8,260,5,2,0.4,CONTAMINATED,0,2.1411192417144775,0.09760916233062744,0.2066218578055632,4.45862797241276,0.4371606837464277,0,0,260;266;272;318;416,272;416,260;266;318
8,262,2,1,0.5,CONTAMINATED,0,2.4915759563446045,0.22724610567092896,0.5312381237975816,4.45862797241276,0.4371606837464277,0,1,262;446,446,262
8,263,24,3,0.125,MOSTLY_BENIGN,0,2.751037836074829,0.12504082918167114,0.09614724439681391,4.45862797241276,0.4371606837464277,0,0,263;23;31;54;69;88;89;95;122;196;223;235;273;279;295;303;304;305;324;377;385;387;425;426,122;223;273,263;23;31;54;69;88;89;95;196;235;279;295;303;304;305;324;377;385;387;425;426
8,265,1,1,1.0,CONTAMINATED,0,2.3597941398620605,0.13191664218902588,1.1168566382873595,4.45862797241276,0.4371606837464277,0,1,265,265,
