round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,precision,recall,f1,false_positive_rate
1,data_poison,200,42,100,19,23,81,77,0.4523809523809524,0.19,0.26760563380281693,0.23
2,data_poison,200,42,100,19,23,81,77,0.4523809523809524,0.19,0.26760563380281693,0.23
3,data_poison,200,50,100,24,26,76,74,0.48,0.24,0.32,0.26
4,data_poison,200,57,100,28,29,72,71,0.49122807017543857,0.28,0.35668789808917195,0.29
5,data_poison,200,66,100,33,33,67,67,0.5,0.33,0.39759036144578314,0.33
6,data_poison,200,62,100,29,33,71,67,0.46774193548387094,0.29,0.35802469135802467,0.33
7,data_poison,200,66,100,29,37,71,63,0.4393939393939394,0.29,0.34939759036144574,0.37
8,data_poison,200,70,100,30,40,70,60,0.42857142857142855,0.3,0.3529411764705882,0.4
9,data_poison,200,72,100,31,41,69,59,0.4305555555555556,0.31,0.3604651162790698,0.41
10,data_poison,200,71,100,31,40,69,60,0.43661971830985913,0.31,0.36257309941520466,0.4
