round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,precision,recall,f1,false_positive_rate
1,pga,500,250,250,250,0,0,250,1.0,1.0,1.0,0.0
2,pga,500,255,250,249,6,1,244,0.9764705882352941,0.996,0.986138613861386,0.024
3,pga,500,220,250,220,0,30,250,1.0,0.88,0.9361702127659575,0.0
4,pga,500,249,250,249,0,1,250,1.0,0.996,0.9979959919839679,0.0
5,pga,500,249,250,249,0,1,250,1.0,0.996,0.9979959919839679,0.0
6,pga,500,232,250,232,0,18,250,1.0,0.928,0.9626556016597512,0.0
7,pga,500,245,250,245,0,5,250,1.0,0.98,0.98989898989899,0.0
8,pga,500,236,250,235,1,15,249,0.9957627118644068,0.94,0.9670781893004115,0.004
9,pga,500,248,250,244,4,6,246,0.9838709677419355,0.976,0.9799196787148594,0.016
10,pga,500,241,250,238,3,12,247,0.9875518672199171,0.952,0.969450101832994,0.012
