checkpoint_round,eval_round,eval_tag,checkpoint_path,num_excluded_poisoned_clients,num_benign_clients,accuracy,f1,precision,recall,f1_macro,precision_macro,recall_macro
1,2,round_2_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/Test_PGA/DPF_IDS-ModelPoison-PGA/DPF_IDS-FFNN-ModelPoison-PGA-200c-20p/FFNN_checkpoint_round1.pt,40,160,0.5657406328015633,0.47898774633385155,0.4599648279851948,0.5657406328015633,0.15440328765027797,0.13801933416470857,0.22715709476155058
2,3,round_3_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/Test_PGA/DPF_IDS-ModelPoison-PGA/DPF_IDS-FFNN-ModelPoison-PGA-200c-20p/FFNN_checkpoint_round2.pt,40,160,0.602413040760544,0.5266728857388341,0.5292345823410296,0.602413040760544,0.20361674146330397,0.1927490723613768,0.2861731323698465
3,4,round_4_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/Test_PGA/DPF_IDS-ModelPoison-PGA/DPF_IDS-FFNN-ModelPoison-PGA-200c-20p/FFNN_checkpoint_round3.pt,40,160,0.6227956967000563,0.5560018591367919,0.5810750400864919,0.6227956967000563,0.23122504268598698,0.22545093032267918,0.31671627012222003
4,5,round_5_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/Test_PGA/DPF_IDS-ModelPoison-PGA/DPF_IDS-FFNN-ModelPoison-PGA-200c-20p/FFNN_checkpoint_round4.pt,40,160,0.6340154813732349,0.5719671052583616,0.5978080869561423,0.6340154813732349,0.2483375443486476,0.2448355829526196,0.3333448134300913
5,6,round_6_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/Test_PGA/DPF_IDS-ModelPoison-PGA/DPF_IDS-FFNN-ModelPoison-PGA-200c-20p/FFNN_checkpoint_round5.pt,40,160,0.6417373991681486,0.5823947565291442,0.6297110462583685,0.6417373991681485,0.2603070457380404,0.26226480949821146,0.34457478424311355
6,7,round_7_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/Test_PGA/DPF_IDS-ModelPoison-PGA/DPF_IDS-FFNN-ModelPoison-PGA-200c-20p/FFNN_checkpoint_round6.pt,40,160,0.6498273835513126,0.5915466677661525,0.6390616083203501,0.6498273835513126,0.26960103812124936,0.2744216272523435,0.35317758969262947
7,8,round_8_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/Test_PGA/DPF_IDS-ModelPoison-PGA/DPF_IDS-FFNN-ModelPoison-PGA-200c-20p/FFNN_checkpoint_round7.pt,40,160,0.6549492488671772,0.6019836322508467,0.6460774419039432,0.6549492488671772,0.2760886588850866,0.28320500224734513,0.35971538441882495
8,9,round_9_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/Test_PGA/DPF_IDS-ModelPoison-PGA/DPF_IDS-FFNN-ModelPoison-PGA-200c-20p/FFNN_checkpoint_round8.pt,43,157,0.6621006285031783,0.6105148919545307,0.6607602787890096,0.6621006285031783,0.28705414380196054,0.2933932650330875,0.3710101778544456
9,10,round_10_preupdate_detected_benign_prev_round_eval,/home/q/Downloads/Test_PGA/DPF_IDS-ModelPoison-PGA/DPF_IDS-FFNN-ModelPoison-PGA-200c-20p/FFNN_checkpoint_round9.pt,41,159,0.6675625847630253,0.6166305333459381,0.6701274517671205,0.6675625847630253,0.29218556493346404,0.30250987233136656,0.3756115099737426
