round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,precision,recall,f1,false_positive_rate
1,pga,200,40,40,40,0,0,160,1.0,1.0,1.0,0.0
2,pga,200,40,40,40,0,0,160,1.0,1.0,1.0,0.0
3,pga,200,40,40,40,0,0,160,1.0,1.0,1.0,0.0
4,pga,200,40,40,40,0,0,160,1.0,1.0,1.0,0.0
5,pga,200,40,40,40,0,0,160,1.0,1.0,1.0,0.0
6,pga,200,40,40,40,0,0,160,1.0,1.0,1.0,0.0
7,pga,200,40,40,37,3,3,157,0.925,0.925,0.925,0.01875
8,pga,200,43,40,40,3,0,157,0.9302325581395349,1.0,0.963855421686747,0.01875
9,pga,200,41,40,40,1,0,159,0.975609756097561,1.0,0.9876543209876543,0.00625
10,pga,200,42,40,40,2,0,158,0.9523809523809523,1.0,0.975609756097561,0.0125
