round,TP,FP,FN,TN,Precision,Recall,F1,Accuracy
1,95,4,5,396,0.9595959595959596,0.95,0.9547738693467336,0.982
2,78,9,22,391,0.896551724137931,0.78,0.8342245989304813,0.938
3,80,15,20,385,0.8421052631578947,0.8,0.8205128205128205,0.93
4,80,19,20,381,0.8080808080808081,0.8,0.8040201005025126,0.922
5,84,21,16,379,0.8,0.84,0.8195121951219512,0.926
2,78,9,22,391,0.896551724137931,0.78,0.8342245989304813,0.938
3,80,15,20,385,0.8421052631578947,0.8,0.8205128205128205,0.93
4,80,19,20,381,0.8080808080808081,0.8,0.8040201005025126,0.922
5,84,21,16,379,0.8,0.84,0.8195121951219512,0.926
6,89,28,11,372,0.7606837606837606,0.89,0.8202764976958524,0.922
7,94,34,6,366,0.734375,0.94,0.8245614035087719,0.92
8,98,29,2,371,0.7716535433070866,0.98,0.8634361233480176,0.938
9,98,29,2,371,0.7716535433070866,0.98,0.8634361233480176,0.938
10,99,27,1,373,0.7857142857142857,0.99,0.8761061946902654,0.944
