round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,precision,recall,f1,accuracy,false_positive_rate
1,botpa,500,230,250,227,3,23,247,0.9869565217391304,0.908,0.9458333333333333,0.948,0.9869565217391304,0.908,0.9458333333333333,0.948,0.012
2,botpa,500,128,250,128,0,122,250,1.0,0.512,0.6772486772486772,0.756,1.0,0.512,0.6772486772486772,0.756,0.0
3,botpa,500,153,250,153,0,97,250,1.0,0.612,0.7593052109181141,0.806,1.0,0.612,0.7593052109181141,0.806,0.0
4,botpa,500,140,250,139,1,111,249,0.9928571428571429,0.556,0.712820512820513,0.776,0.9928571428571429,0.556,0.712820512820513,0.776,0.004
5,botpa,500,171,250,171,0,79,250,1.0,0.684,0.8123515439429928,0.842,1.0,0.684,0.8123515439429928,0.842,0.0
6,botpa,500,189,250,189,0,61,250,1.0,0.756,0.8610478359908884,0.878,1.0,0.756,0.8610478359908884,0.878,0.0
7,botpa,500,202,250,201,1,49,249,0.995049504950495,0.804,0.8893805309734514,0.9,0.995049504950495,0.804,0.8893805309734514,0.9,0.004
8,botpa,500,213,250,212,1,38,249,0.9953051643192489,0.848,0.9157667386609072,0.922,0.9953051643192489,0.848,0.9157667386609072,0.922,0.004
9,botpa,500,225,250,223,2,27,248,0.9911111111111112,0.892,0.9389473684210526,0.942,0.9911111111111112,0.892,0.9389473684210526,0.942,0.008
10,botpa,500,227,250,225,2,25,248,0.9911894273127754,0.9,0.9433962264150944,0.946,0.9911894273127754,0.9,0.9433962264150944,0.946,0.008
